nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
15	0	0	1	0	508	525	0	375	39	6
0	0	0	1	0	510	526	0	432	39	6
1	0	0	1	0	515	514	0	411	39	6
2	0	0	1	0	517	517	0	557	38	6
3	0	0	1	0	519	512	0	312	39	6
4	0	0	1	0	510	517	0	362	39	6
5	0	0	1	0	512	542	0	452	39	6
6	0	0	1	0	508	543	0	478	38	6
7	0	0	1	0	514	522	0	281	39	6
8	0	0	1	0	507	524	0	543	39	6
9	0	0	1	0	519	525	0	348	39	6
10	0	0	1	0	514	522	0	505	38	6
11	0	0	1	0	513	537	0	303	39	6
12	0	0	1	0	513	527	0	492	39	6
13	0	0	1	0	514	542	0	349	39	6
14	0	0	1	0	510	541	0	455	38	6
15	0	0	1	0	509	551	0	432	39	6
0	0	0	1	0	514	552	0	529	39	6
1	0	0	1	0	520	547	0	419	39	6
2	0	0	1	0	514	521	0	587	38	6
3	0	0	1	0	522	490	0	396	39	6
4	0	0	1	0	520	498	0	557	39	6
5	0	0	1	0	515	490	0	264	39	6
6	0	0	1	0	516	500	0	499	38	6
7	0	0	1	0	517	493	0	379	39	6
8	0	0	1	0	521	508	0	591	39	6
9	0	0	1	0	517	481	0	320	39	6
10	0	0	1	0	509	489	0	523	38	6
11	0	0	1	0	516	492	0	369	39	6
12	0	0	1	0	513	495	0	556	39	6
13	0	0	1	0	520	504	0	257	39	6
14	0	0	1	0	516	503	0	393	38	6
15	0	0	1	0	511	494	0	334	39	6
0	0	0	1	0	514	508	0	459	39	6
1	0	0	1	0	520	503	0	355	39	6
2	0	0	1	0	513	499	0	480	38	6
3	0	0	1	0	512	514	0	361	39	6
4	0	0	1	0	513	491	0	675	39	6
5	0	0	1	0	516	527	0	311	39	6
6	0	0	1	0	513	527	0	427	38	6
7	0	0	1	0	518	508	0	363	39	6
8	0	0	1	0	508	508	0	638	39	6
9	0	0	1	0	509	523	0	337	39	6
10	0	0	1	0	522	511	0	466	38	6
11	0	0	1	0	512	538	0	322	39	6
12	0	0	1	0	514	508	0	458	39	6
13	0	0	1	0	518	519	0	339	39	6
14	0	0	1	0	511	508	0	666	38	6
15	0	0	1	0	518	519	0	276	39	6
0	0	0	1	0	514	506	0	430	39	6
1	0	0	1	0	511	504	0	305	39	6
2	0	0	1	0	508	504	0	449	38	6
3	0	0	1	0	522	510	0	393	39	6
4	0	0	1	0	515	522	0	660	39	6
5	0	0	1	0	515	523	0	286	39	6
6	0	0	1	0	512	497	0	470	38	6
7	0	0	1	0	510	504	0	306	39	6
8	0	0	1	0	515	512	0	644	39	6
9	0	0	1	0	519	534	0	283	39	6
10	0	0	1	0	508	514	0	435	38	6
11	0	0	1	0	515	496	0	305	39	6
12	0	0	1	0	512	516	0	436	39	6
13	0	0	1	0	519	507	0	322	39	6
14	0	0	1	0	508	528	0	638	38	6
15	0	0	1	0	519	590	0	285	39	6
0	0	0	1	0	505	577	0	499	39	6
1	0	0	1	0	512	487	0	289	39	6
