nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
0	0	0	1	0	521	592	0	521	38	0
1	0	0	1	0	516	597	0	519	38	0
2	0	0	1	0	511	564	0	514	38	0
3	0	0	1	0	519	539	0	513	38	0
4	0	0	1	0	503	501	0	514	38	0
5	0	0	1	0	518	507	0	512	38	0
6	0	0	1	0	508	497	0	513	38	0
7	0	0	1	0	515	475	0	512	38	0
8	0	0	1	0	512	475	0	516	38	0
9	0	0	1	0	514	459	0	505	38	0
10	0	0	1	0	517	463	0	514	38	0
11	0	0	1	0	515	491	0	520	38	0
12	0	0	1	0	507	479	0	513	38	0
13	0	0	1	0	519	486	0	517	38	0
14	0	0	1	0	509	459	0	513	38	0
15	0	0	1	0	513	489	0	513	38	0
0	0	0	1	0	518	503	0	507	38	0
1	0	0	1	0	514	489	0	511	38	0
2	0	0	1	0	520	478	0	511	38	0
3	0	0	1	0	525	526	0	513	38	0
4	0	0	1	0	517	519	0	508	38	0
5	0	0	1	0	518	514	0	510	38	0
6	0	0	1	0	520	518	0	515	38	0
7	0	0	1	0	513	524	0	514	38	0
8	0	0	1	0	517	543	0	510	38	0
9	0	0	1	0	519	511	0	515	38	0
10	0	0	1	0	517	529	0	519	38	0
11	0	0	1	0	515	514	0	516	38	0
12	0	0	1	0	515	520	0	511	38	0
13	0	0	1	0	518	521	0	513	38	0
14	0	0	1	0	512	521	0	518	38	0
15	0	0	1	0	516	519	0	511	38	0
0	0	0	1	0	515	516	0	516	38	0
1	0	0	1	0	511	541	0	513	38	0
2	0	0	1	0	505	528	0	512	38	0
3	0	0	1	0	519	538	0	512	38	0
4	0	0	1	0	517	547	0	509	38	0
5	0	0	1	0	513	528	0	514	38	0
6	0	0	1	0	519	542	0	509	38	0
7	0	0	1	0	512	526	0	512	38	0
8	0	0	1	0	524	507	0	506	38	0
9	0	0	1	0	505	526	0	510	38	0
10	0	0	1	0	514	507	0	512	38	0
11	0	0	1	0	511	514	0	508	38	0
12	0	0	1	0	506	525	0	513	38	0
13	0	0	1	0	512	515	0	515	38	0
14	0	0	1	0	519	518	0	509	38	0
15	0	0	1	0	518	491	0	506	38	0
0	0	0	1	0	516	525	0	510	38	0
1	0	0	1	0	519	468	0	514	38	0
2	0	0	1	0	513	531	0	511	38	0
3	0	0	1	0	506	709	0	511	38	0
4	0	0	1	0	517	853	0	504	38	0
5	0	0	1	0	510	610	0	517	38	0
6	0	0	1	0	512	393	0	509	38	0
7	0	0	1	0	511	446	0	514	38	0
8	0	0	1	0	516	479	0	511	38	0
9	0	0	1	0	515	491	0	512	38	0
10	0	0	1	0	511	487	0	514	38	0
11	0	0	1	0	516	506	0	513	38	0
12	0	0	1	0	517	511	0	516	38	0
13	0	0	1	0	519	506	0	511	38	0
14	0	0	1	0	507	487	0	517	38	0
15	0	0	1	0	511	496	0	510	38	0
0	0	0	1	0	517	523	0	518	38	0
1	0	0	1	0	519	522	0	513	38	0
2	0	0	1	0	511	527	0	506	38	0
3	0	0	1	0	515	553	0	507	38	0
4	0	0	1	0	510	545	0	508	38	0
5	0	0	1	0	519	558	0	512	38	0
6	0	0	1	0	516	567	0	511	38	0
7	0	0	1	0	516	587	0	513	38	0
8	0	0	1	0	516	577	0	513	38	0
9	0	0	1	0	513	594	0	510	38	0
10	0	0	1	0	514	559	0	511	38	0
11	0	0	1	0	513	575	0	509	38	0
12	0	0	1	0	518	583	0	506	38	0
13	0	0	1	0	510	540	0	514	38	0
14	0	0	1	0	512	500	0	511	38	0
15	0	0	1	0	518	506	0	505	38	0
0	0	0	1	0	515	457	0	508	38	0
1	0	0	1	0	519	472	0	507	38	0
2	0	0	1	0	515	455	0	517	38	0
3	0	0	1	0	517	455	0	519	38	0
4	0	0	1	0	511	438	0	510	38	0
5	0	0	1	0	519	462	0	514	38	0
6	0	0	1	0	518	466	0	507	38	0
7	0	0	1	0	515	467	0	509	38	0
8	0	0	1	0	516	457	0	515	38	0
9	0	0	1	0	513	472	0	508	38	0
10	0	0	1	0	516	495	0	518	38	0
11	0	0	1	0	525	488	0	518	38	0
12	0	0	1	0	514	511	0	518	38	0
13	0	0	1	0	508	483	0	522	38	0
14	0	0	1	0	511	487	0	531	38	0
15	0	0	1	0	521	488	0	520	38	0
0	0	0	1	0	518	496	0	526	38	0
1	0	0	1	0	522	510	0	514	38	0
2	0	0	1	0	510	526	0	523	38	0
3	0	0	1	0	513	500	0	522	38	0
4	0	0	1	0	514	499	0	515	38	0
5	0	0	1	0	513	509	0	515	38	0
6	0	0	1	0	516	514	0	512	38	0
7	0	0	1	0	516	502	0	514	38	0
8	0	0	1	0	519	512	0	511	38	0
9	0	0	1	0	516	514	0	519	38	0
10	0	0	1	0	514	532	0	511	38	0
11	0	0	1	0	511	512	0	517	38	0
12	0	0	1	0	516	493	0	515	38	0
13	0	0	1	0	517	541	0	514	38	0
14	0	0	1	0	521	526	0	512	38	0
15	0	0	1	0	511	500	0	511	38	0
0	0	0	1	0	523	539	0	519	38	0
1	0	0	1	0	515	532	0	513	38	0
2	0	0	1	0	510	510	0	515	38	0
3	0	0	1	0	516	523	0	521	39	0
4	0	0	1	0	511	496	0	520	37	0
5	0	0	1	0	512	506	0	524	38	0
6	0	0	1	0	513	496	0	516	38	0
7	0	0	1	0	511	515	0	515	38	0
8	0	0	1	0	514	523	0	512	38	0
9	0	0	1	0	515	509	0	512	38	0
10	0	0	1	0	517	471	0	516	38	0
11	0	0	1	0	517	490	0	515	38	0
12	0	0	1	0	516	465	0	502	38	0
13	0	0	1	0	514	570	0	509	38	0
14	0	0	1	0	517	782	0	523	38	0
15	0	0	1	0	511	792	0	518	38	0
0	0	0	1	0	515	476	0	521	38	0
1	0	0	1	0	511	411	0	518	38	0
2	0	0	1	0	511	406	0	517	38	0
3	0	0	1	0	521	480	0	512	38	0
4	0	0	1	0	516	466	0	526	38	0
5	0	0	1	0	512	474	0	510	38	0
6	0	0	1	0	511	471	0	513	38	0
7	0	0	1	0	515	499	0	518	38	0
8	0	0	1	0	515	480	0	517	38	0
9	0	0	1	0	511	492	0	512	38	0
10	0	0	1	0	515	518	0	517	38	0
11	0	0	1	0	511	485	0	514	38	0
12	0	0	1	0	514	514	0	512	38	0
13	0	0	1	0	509	515	0	514	38	0
14	0	0	1	0	512	529	0	524	38	0
15	0	0	1	0	511	553	0	515	38	0
0	0	0	1	0	508	544	0	513	37	0
1	0	0	1	0	516	555	0	514	38	0
2	0	0	1	0	526	573	0	512	38	0
3	0	0	1	0	524	605	0	515	38	0
4	0	0	1	0	526	564	0	519	39	0
5	0	0	1	0	514	590	0	515	39	0
6	0	0	1	0	515	593	0	519	39	0
7	0	0	1	0	518	566	0	515	39	0
8	0	0	1	0	515	549	0	510	38	0
9	0	0	1	0	512	509	0	524	38	0
10	0	0	1	0	513	475	0	524	38	0
11	0	0	1	0	519	508	0	509	38	0
12	0	0	1	0	515	463	0	513	38	0
13	0	0	1	0	512	466	0	512	38	0
14	0	0	1	0	519	486	0	507	38	0
15	0	0	1	0	523	465	0	507	38	0
0	0	0	1	0	513	452	0	517	37	0
1	0	0	1	0	518	487	0	509	38	0
2	0	0	1	0	521	464	0	514	38	0
3	0	0	1	0	520	473	0	513	38	0
4	0	0	1	0	514	488	0	514	38	0
5	0	0	1	0	513	491	0	514	38	0
6	0	0	1	0	513	513	0	511	37	0
7	0	0	1	0	517	509	0	511	38	0
8	0	0	1	0	520	515	0	506	38	0
9	0	0	1	0	518	504	0	508	38	0
10	0	0	1	0	521	483	0	508	38	0
11	0	0	1	0	516	526	0	515	38	0
12	0	0	1	0	513	501	0	519	38	0
13	0	0	1	0	512	529	0	512	38	0
14	0	0	1	0	518	508	0	508	38	0
15	0	0	1	0	519	526	0	508	38	0
0	0	0	1	0	518	510	0	504	38	0
1	0	0	1	0	517	512	0	514	38	0
2	0	0	1	0	520	493	0	504	38	0
3	0	0	1	0	515	505	0	512	38	0
4	0	0	1	0	510	511	0	507	38	0
5	0	0	1	0	522	522	0	507	39	0
6	0	0	1	0	518	521	0	512	38	0
7	0	0	1	0	514	515	0	516	38	0
8	0	0	1	0	520	505	0	508	38	0
9	0	0	1	0	516	508	0	508	38	0
10	0	0	1	0	514	505	0	505	38	0
11	0	0	1	0	516	546	0	513	38	0
12	0	0	1	0	518	515	0	519	38	0
13	0	0	1	0	515	525	0	512	39	0
14	0	0	1	0	524	512	0	510	38	0
15	0	0	1	0	516	511	0	509	38	0
0	0	0	1	0	511	488	0	508	38	0
1	0	0	1	0	512	506	0	509	38	0
2	0	0	1	0	518	482	0	510	38	0
3	0	0	1	0	511	492	0	511	38	0
4	0	0	1	0	511	526	0	521	38	0
5	0	0	1	0	519	501	0	507	38	0
6	0	0	1	0	518	450	0	509	38	0
7	0	0	1	0	517	542	0	513	38	0
8	0	0	1	0	521	719	0	515	38	0
9	0	0	1	0	525	807	0	519	38	0
10	0	0	1	0	515	565	0	516	38	0
11	0	0	1	0	519	390	0	513	38	0
12	0	0	1	0	513	400	0	513	38	0
13	0	0	1	0	521	485	0	508	38	0
14	0	0	1	0	513	478	0	522	38	0
15	0	0	1	0	519	486	0	513	38	0
0	0	0	1	0	519	476	0	520	38	0
1	0	0	1	0	519	509	0	515	38	0
2	0	0	1	0	518	459	0	531	38	0
3	0	0	1	0	514	499	0	512	38	0
4	0	0	1	0	522	477	0	520	38	0
5	0	0	1	0	522	505	0	515	38	0
6	0	0	1	0	510	501	0	515	38	0
7	0	0	1	0	517	516	0	512	38	0
8	0	0	1	0	508	517	0	505	38	0
9	0	0	1	0	508	540	0	512	38	0
10	0	0	1	0	512	529	0	514	38	0
11	0	0	1	0	510	534	0	519	38	0
12	0	0	1	0	515	547	0	519	38	0
13	0	0	1	0	513	569	0	514	38	0
14	0	0	1	0	513	553	0	513	38	0
15	0	0	1	0	514	593	0	515	38	0
0	0	0	1	0	519	567	0	516	38	0
1	0	0	1	0	519	542	0	517	38	0
